행정표준용어현황,,,,,,,,
NO,구분,용어명,용어영문명,영문약어명,정의,주제영역,등록일,상태
1,표준어,1,ONE,ONE,"숫자 1

",기록물관리,2008-12-16,사용중
2,표준어,10월,OCTOBER,OCT,"10월

",교육인적자원 행정지원,2010-06-24,사용중
3,표준어,119안전신고센터,NATIONAL 119 SECURITY CENTER,N119SC,"범국민적으로 재해 및 안전에 대한 관심을 유도하고, 신고 체계를 확립할 목적으로 행정자치부에서 개설한 인터넷 안전관리시스템.
",재난예방 관리,2006-11-27,사용중
4,표준어,11월,NEVEMBER,NOV,"11월

",교육인적자원 행정지원,2010-06-24,사용중
5,표준어,12월,DECEMBER,DEC,"12월

",교육인적자원 행정지원,2010-06-24,사용중
6,표준어,13월,NEXT JANUARY,NJAN,"차년도 1월 : 회계업무의 출납폐쇄월을 의미함

",교육인적자원 행정지원,2010-06-24,사용중
7,표준어,14월,NEXT FEBRUARY,NFEB,"차년도 2월 : 회계업무의 출납폐쇄월을 의미함

",교육인적자원 행정지원,2010-06-24,사용중
8,표준어,1월,JANUARY,JAN,"1월

",교육인적자원 행정지원,2010-06-24,사용중
9,표준어,1종시설물,FIRST-CLASS FACILITIES,FSLS,"1種施設物
 [법률정의] (시설물의 안전관리에 관한 특별법) 도로?철도?항만?댐?교량?터널?건축물등 공중의 이용편의와 안전을 도모하기 위하여 특별히 관리할 필요가 있거나 구조상 유지관리에 있어 고도의 기술이 필요하다고 인정하여 대통령령이 정하는 시설물.
",건설교통 기술개발,2006-11-17,사용중
10,표준어,1차냉각재,PRIMARY REFRIGERANT,PRMRFRG,"1次冷却材
 [법률정의] (원자로시설등의기술기준에관한규칙) 원자로의 노심에서 발생하는 열을 직접 흡수하는 유체.
",원자력 진흥,2006-11-17,사용중
11,동의어,1회용품,DISPOSABLE PRODUCT,DSPPRD,"一回用品
 한 번만 쓰고 버리도록 되어 있는 물건.
",자원순환체계 구축,2006-11-27,사용중
12,표준어,2,TWO,TWO,"숫자 2

",기록물관리,2008-12-16,사용중
13,표준어,20피트컨테이너단위,TWENTY FOOT EQUIVALENT UNIT,TEU,"Twenty Foot Equivalent Unit의 약자로서 콘테이너는 10피트, 20, 40, 50피트 등이 있는데, 이러한 통일되지 않은 콘테이너의 적재단위를 20피트로 환산처리하여 통계용으로 활용한다. 이 때 기준이 되는 값을 20피트로 하고 이 기준단위를 TEU라고 통일하여 사용한다. 

",수출입통관,2010-02-25,사용중
14,표준어,21세기프론티어연구개발사업,21ST CENTURY FRONTIER R＆D PROGRAM,FRD21,"세계 시장을 선도하는 미래 신기술을 개발하기 위한 국가주도의 범부처적인 장기 연구개발사업
",기초연구진흥,2006-11-27,사용중
15,표준어,24시간전적하목록제출규정,24 HOUR ADVANCED MANIFEST RULE,24HAMR,"입항전 24시간 전까지 적하목록 제출해야 한다는 규정

",수출입통관,2010-02-25,사용중
16,표준어,2월,FEBRUARY,FEB,"2월

",교육인적자원 행정지원,2010-06-24,사용중
17,표준어,2종시설물,SECOND-CLASS FACILITIES,SCLLS,"[법률정의] (시설물의 안전관리에 관한 특별법) 1종시설물외의 시설물로서 대통령령이 정하는 시설물.
",건설교통 기술개발,2006-11-17,사용중
18,표준어,2차,SECONDARY                    ,SCD,"2차                                                                                                                                    

",기후변화 대응,2007-10-25,사용중
19,표준어,2차냉각재,SECONDARY REFRIGERANT,SCDRF,"[법률정의] (원자로시설등의기술기준에관한규칙) 열교환기에 의하여 1차 냉각재의 열을 흡수하여 터빈을 돌리는 유체.
",원자력 진흥,2006-11-17,사용중
20,동의어,2차전지,STORAGE BATTERY,SRGBTRY,"전류와 물질 사이의 산화환원과정이 여러 번 반복가능한 물질을 사용하여 만든 전지이다. 전류로 물질을 환원시키면 충전되고 물질이 산화되면 전류가 생겨 방전되는 과정이 반복된다.
",전자정부,2006-11-27,사용중
21,표준어,2차통지처,SECONDARY NOTIFY PARTY,SECNP,"제2차 납세의무자 등의 연락처

",관세심사,2010-02-25,사용중
22,표준어,3,THREE,THREE,"숫자 3

",기록물관리,2008-12-16,사용중
23,표준어,3월,MARCH,MAR,"3월

",교육인적자원 행정지원,2010-06-24,사용중
24,표준어,4,FOUR,FOUR,"숫자4

",관세 행정지원,2010-12-08,사용중
25,표준어,40피트컨테이너단위,FOURTY FOOT EQUIVALENT UNIT,FEU,"40피트 콘테이너의 적재단위

",수출입통관,2010-12-13,사용중
26,표준어,4대강,FOUR RIVER,FRIVR,"한강과 낙동강, 금강, 영산강
",수질보전 및 관리,2006-11-27,사용중
27,표준어,4대보험,FOUR ELEMENTARY INSURANCE,FEINSR,"국민연금,의료보험,고용보험,산재보험을 말하며 종업원1인이상을 두는 개인사업자와 법인사업자는 의무적으로 가입하여야 함.
",사회복지기반조성,2006-11-27,사용중
28,동의어,4대사회보험,FOUR ELEMENTARY INSURANCE,FEINSR,"국민연금,의료보험,고용보험,산재보험을 말하며 종업원1인이상을 두는 개인사업자와 법인사업자는 의무적으로 가입하여야 함.
",사회복지기반조성,2006-11-27,사용중
29,표준어,4월,APRIL,APR,"4월

",교육인적자원 행정지원,2010-06-24,사용중
30,표준어,5,FIVE,FIVE,"숫자5

",관세 행정지원,2010-12-08,사용중
31,표준어,5월,MAY,MAY,"5월

",교육인적자원 행정지원,2010-06-24,사용중
32,표준어,6,SIX,SIX,"6

",관세 행정지원,2011-10-28,사용중
33,동의어,6시그마,SIX SIGMA,SSGM,"품질혁신과 고객만족을 달성하기 위해 전사적으로 실행하는 21세기형 기업경영전략
",전자정부,2006-11-27,사용중
34,표준어,6월,JUNE,JUN,"6월

",교육인적자원 행정지원,2010-06-24,사용중
35,표준어,6자회담,SIX-PARTY TALKS,SPTLKS,"한반도의 검증 가능한 비핵화를 평화적인 방법으로 달성하기 위하여 한국,북한,미국,일본,중국,러시아 6개국이 참가하는 회담.
",북한정보 분석.관리,2006-11-27,사용중
36,표준어,7,SEVEN,SEVEN,"7

",관세 행정지원,2011-10-28,사용중
37,표준어,7월,JULY,JULY,"7월

",교육인적자원 행정지원,2010-06-24,사용중
38,표준어,8,EIGHT,EIGHT,"8

",관세 행정지원,2011-10-28,사용중
39,표준어,8월,AUGUST,AUG,"8월

",교육인적자원 행정지원,2010-06-24,사용중
40,표준어,9,NINE,NINE,"9

",관세 행정지원,2011-10-28,사용중
41,표준어,9월,SEPTEMBER,SEP,"9월

",교육인적자원 행정지원,2010-06-24,사용중
42,동의어,A4,A4 PAPER,A4P,"인쇄물의 판형의 한 가지로, 그 치수가 210×297MM인 것. 인쇄용 A열 가로결 전지(KS A5201 규격 625×880MM)를 8절(짧은변을 2번, 긴변을 4번 접음)한 것.
",전자정부,2006-11-17,사용중
43,표준어,A4지,A4 PAPER,A4P,"인쇄물의 판형의 한 가지로, 그 치수가 210×297MM인 것. 인쇄용 A열 가로결 전지(KS A5201 규격 625×880MM)를 8절(짧은변을 2번, 긴변을 4번 접음)한 것.
",전자정부,2006-11-17,사용중
44,표준어,AAIC,ACCOUNTING AUTHORITY IDENTIFICATION CODE,AAIC,"ITU((유엔) 국제 전기 통신 동맹)에 의해 배정된 정산 주관청 식별 번호.
",전자정부,2006-11-17,사용중
45,표준어,ABR,ANSWER BID RATIO,AWBDRT,"특정 루트(교환국)에 대한 총통화신청호수와 응답신호를 수신한 호수의 비를 응답 통화신청비
",전자정부,2006-11-17,사용중
46,동의어,ABS,ASSET BACKED SECURITIES,ABS,"보유하고 있는 자산인 채권을 담보로 증권화하는 것으로자산보유자가 채권 등에 묶여 있는 현금흐름을 조기 회수하기 위해서 채권을 담보로 일정한 현금흐름을 창출하는 것
",전자정부,2006-11-27,사용중
47,동의어,AC,ALTERNATING CURRENT,ALTRCRT,"흐름의 방향이 시간에 따라 주기적으로 변하는 전류 또는 전압.
",남북경제협력,2006-11-17,사용중
48,표준어,ADSL,ASYMMETRIC DIGITAL SUBSCRIBER LINE,_ADSL,"기존의 2선식 가입자 전화 회선을 이용하여 전화국에서 가정으로 1.5M
ps(또는 6M
ps), 가정에서 전화국으로 16k
ps의 통신(비대칭)을 실현할 수 있는 기술. 동일한 전화 회선을 기존의 전화와 종합 정보 통신망(ISDN)의 기본 속도 인터페이스(2B＋D)가 공존하는 상태로 이용할 수 있게 한다.
",전자정부,2006-12-05,사용중
49,표준어,APEC,ASIA-PACIFIC ECONOMIC COOPERATION,_APEC,"아시아태평양경제협력체. 한국, 미국, 일본, 캐나다, 오스트레일리아, 뉴질랜드와 동남아시아 국가 연합(ASEAN) 6개국이 환태평양 지역의 경제 협력과 무역 증진을 목적으로 결성한 기구.
",출입국관리,2006-11-24,사용중
